incident_id;offense_id;offense_code;offense_code_extension;offense_type_id;offense_category_id;first_occurrence_date;incident_address;geo_x;geo_y;geo_lon;geo_lat;district_id;precinct_id;neighborhood_id;is_crime;is_traffic;victim_count
2023471767;2,02347E+15;1315;0;aggravated-assault;aggravated-assault;8/30/2023 5:00:00 AM;N STEELE ST / E COLFAX AVE;3,15482E+13;1,69495E+13;-1049494733;397401596;2;213;congress-park;1;0;1
2023475480;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/3/2023 3:40:00 AM;1447 N SPRUCE ST;3,16933E+13;1,6948E+13;-1048978781;397394896;2;223;east-colfax;1;0;1
2023471380;2,02347E+15;1315;0;aggravated-assault;aggravated-assault;9/1/2023 2:14:00 AM;2180 STOUT ST;3,14456E+13;1,69893E+13;-1049858657;397512366;6;621;five-points;1;0;1
2023472285;2,02347E+15;1315;0;aggravated-assault;aggravated-assault;9/1/2023 11:00:00 AM;490 W COLFAX AVE;3,14242E+13;1,69474E+13;-1049935737;397397729;6;611;civic-center;1;0;1
2023474624;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/2/2023 6:09:00 PM;;;;;;3;324;southmoor-park;1;0;1
2023474890;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/2/2023 8:24:00 PM;;;;;;2;212;elyria-swansea;1;0;1
2023474048;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/2/2023 11:22:00 AM;;;;;;6;621;five-points;1;0;1
2023471381;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/1/2023 3:06:00 AM;;;;;;6;622;cheesman-park;1;0;1
2023476412;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/3/2023 6:20:00 PM;;;;;;2;211;whittier;1;0;1
2023472774;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/1/2023 6:00:00 PM;;;;;;3;323;hampden;1;0;1
2023473919;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/1/2023 10:25:00 PM;;;;;;1;112;globeville;1;0;1
2023475651;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/3/2023 6:00:00 AM;;;;;;5;523;gateway-green-valley-ranch;1;0;1
2023473679;2,02347E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/2/2023 12:00:00 AM;;;;;;1;123;lincoln-park;1;0;1
2023475641;2,02348E+15;1315;1;aggravated-assault-dv;aggravated-assault;9/3/2023 7:56:00 AM;;;;;;1;112;globeville;1;0;1
2023474741;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/2/2023 7:52:00 PM;4500 BLK N PENNSYLVANIA ST;3,14584E+13;1,70884E+13;-1049811156;397784404;1;112;globeville;1;0;1
2023476185;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/3/2023 3:28:00 PM;4217 W KENYON AVE;3,12967E+13;1,66263E+13;-1050394861;396518071;4;423;fort-logan;1;0;1
2023472732;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/1/2023 5:46:00 PM;3714 N MARIPOSA ST;3,13982E+13;1,70513E+13;-1050026095;397683401;1;113;highland;1;0;1
2023470378;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;8/31/2023 2:00:00 PM;7005 LEETSDALE DR;3,16702E+13;1,68037E+13;-1049064238;396999128;3;322;washington-virginia-vale;1;0;2
2023474612;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;4/25/2023 4:45:00 PM;2350 CLEVELAND PL;3,1465E+13;1,69805E+13;-1049789877;397487988;6;621;five-points;1;0;1
2023473646;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/2/2023 5:46:00 AM;4490 N WASHINGTON ST;3,14651E+13;1,70864E+13;-1049787468;397778589;1;112;globeville;1;0;1
2023475360;2,02348E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/3/2023 1:38:00 AM;129 N OSCEOLA ST;3,12972E+13;1,68701E+13;-1050388548;397187409;4;411;barnum;1;0;2
2023473671;2,02347E+15;1315;2;menacing-felony-w-weap;aggravated-assault;9/2/2023 6:17:00 AM;E 20TH AVE / N DOWNING ST;3,14809E+13;1,6976E+13;-1049733354;397475355;6;621;five-points;1;0;1
2023475410;2,02348E+15;1315;6;agg-aslt-shoot;aggravated-assault;9/3/2023 2:13:00 AM;722 N SHERIDAN BLVD;3,12568E+13;1,6904E+13;-1050531604;397281081;1;122;villa-park;1;0;2
2023474576;2,02347E+15;1315;6;agg-aslt-shoot;aggravated-assault;9/2/2023 5:43:00 PM;STOUT ST / 18TH ST;3,14322E+13;1,69764E+13;-1049906534;397477298;6;611;cbd;1;0;1
2023477061;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 3:00:00 AM;9825 E GIRARD AVE;3,17666E+13;1,66436E+13;-1048725475;396557894;3;323;hampden;1;0;1
2023478257;2,02348E+15;1315;0;aggravated-assault;aggravated-assault;9/4/2023 9:16:00 PM;4701 N PEORIA ST;3,1833E+13;1,71079E+13;-1048478028;397831059;5;511;montbello;1;0;1
